article_id,source,label,letters_per_word,words_per_sentence,words_per_text,sentences_per_text,LD,LS1,LS2,VS1,VS2,CVS1,T,T50,T50S,T50W,TTR,MSTTR,CTTR,RTTR,LogTTR,Uber,MATTR,HDD,MTLD,MTLD-MA,MTLD-bii,LV,VV1,SVV1,CVV1,CVV2,NV,ADJV,ADVV,MODV,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,CT/T,CP/T,CP/C,CN/T,CN/C,T/S
4002241,ai,1,5.6187,27.5,385,14,0.556,0.426,0.444,0.692,0.656,11.308,162,37,34.5,60.6,0.421,0.734,5.838,8.256,0.855,2.852,0.934,0.421,48.125,48.125,51.562,0.626,0.821,26.256,0.821,0.821,0.561,0.72,1,0.741,23.21428571,13,10.48387097,2.214285714,1.08,1.24,0.548387097,0.68,0.52,0.56,0.451612903,0.64,0.516129032,1.785714286
4002341,human,0,4.8837,19.85,397,20,0.564,0.363,0.46,0.481,0.545,11.077,211,41,41.4,73.8,0.531,0.796,7.488,10.59,0.894,2.991,0.973,0.531,99.25,99.25,89.325,0.777,0.846,37.231,0.846,0.846,0.745,0.9,1,0.909,17.47619048,9.918918919,9.657894737,1.80952381,0.864864865,1.027027027,0.447368421,0.459459459,0.351351351,0.378378378,0.368421053,0.054054054,0.052631579,1.761904762
4002341,ai,1,5.4419,22.0556,397,18,0.579,0.383,0.427,0.492,0.537,12.938,206,42,39.2,72.7,0.519,0.794,7.311,10.339,0.89,2.978,0.974,0.519,99.25,99.25,99.25,0.752,0.831,44.862,0.831,0.831,0.701,0.857,1,0.889,19.94444444,8.348837209,10.55882353,1.888888889,0.906976744,0.790697674,0.470588235,0.372093023,0.325581395,0.488372093,0.617647059,0,0,2.388888889
4002441,human,0,5.9823,28.0714,393,14,0.621,0.42,0.482,0.679,0.689,18.132,195,40,39.4,70.4,0.496,0.798,6.955,9.836,0.883,2.95,0.967,0.496,98.25,98.25,88.425,0.66,0.849,38.208,0.849,0.849,0.591,1,1,1,25.21428571,11.38709677,11.38709677,2.214285714,1.096774194,1,0.548387097,0.548387097,0.35483871,0.548387097,0.548387097,0.35483871,0.35483871,2.214285714
4002441,ai,1,5.6686,26.6667,400,15,0.57,0.36,0.419,0.516,0.583,12.645,198,40,38.6,70.3,0.495,0.768,7,9.9,0.883,2.954,0.957,0.495,80,80,73.333,0.715,0.774,37.161,0.774,0.774,0.682,1,0.714,0.833,23.93333333,9.447368421,11.21875,2.133333333,1.052631579,0.842105263,0.53125,0.447368421,0.342105263,0.473684211,0.5625,0.078947368,0.09375,2.533333333
4002541,human,0,4.9937,23.25,372,16,0.565,0.419,0.517,0.75,0.765,27.161,207,38,40.3,71.8,0.556,0.824,7.589,10.732,0.901,2.999,0.967,0.556,93,93,93,0.757,0.911,46.446,0.911,0.911,0.687,1,1,1,21.0625,9.628571429,12.48148148,1.6875,0.885714286,0.771428571,0.407407407,0.314285714,0.228571429,0.257142857,0.333333333,0.257142857,0.333333333,2.1875
4002541,ai,1,5.5881,23.5,376,16,0.617,0.391,0.487,0.692,0.643,14.019,187,38,37.9,67,0.497,0.791,6.819,9.644,0.882,2.939,0.964,0.497,75.2,75.2,75.2,0.69,0.808,33.923,0.808,0.808,0.609,0.952,1,0.958,21.6875,10.51515152,9.914285714,2.1875,1.090909091,1.060606061,0.542857143,0.575757576,0.484848485,0.454545455,0.428571429,0.363636364,0.342857143,2.0625
4002641,human,0,5.2331,21.0526,400,19,0.595,0.41,0.485,0.568,0.585,12.986,227,41,40.2,77.7,0.568,0.808,8.026,11.35,0.905,3.03,0.97,0.568,100,100,100,0.777,0.716,37.959,0.716,0.716,0.777,0.913,1,0.941,18.94736842,10.58823529,9.230769231,2.052631579,0.852941176,1.147058824,0.512820513,0.588235294,0.411764706,0.323529412,0.282051282,0.029411765,0.025641026,1.789473684
4002641,ai,1,5.447,22.1111,398,18,0.585,0.407,0.465,0.609,0.595,9.766,187,41,38.7,67.5,0.47,0.756,6.628,9.373,0.874,2.923,0.96,0.47,66.333,66.333,66.333,0.665,0.656,27.562,0.656,0.656,0.649,0.889,1,0.905,20.05555556,9.5,10.93939394,1.833333333,0.815789474,0.868421053,0.454545455,0.394736842,0.263157895,0.394736842,0.454545455,0.210526316,0.242424242,2.111111111
4002741,human,0,5.4079,24,384,16,0.607,0.458,0.527,0.5,0.543,10.417,220,38,40.4,75,0.573,0.81,7.939,11.227,0.906,3.024,0.969,0.573,96,96,96,0.781,0.767,35.267,0.767,0.767,0.76,1,1,1,21.25,10.625,10.96774194,1.9375,0.9375,0.96875,0.483870968,0.46875,0.375,0.375,0.387096774,0.25,0.258064516,2
